langue,pays,francais,mot_local,prononciation
Russe,"Kazakhstan, Kirghizistan",Bonjour,Здравствуйте,zdrast-vouï-tié
Russe,"Kazakhstan, Kirghizistan",Bonsoir,Добрый вечер,dobry viétcher
Russe,"Kazakhstan, Kirghizistan",Au revoir,До свидания,da svidania
Russe,"Kazakhstan, Kirghizistan",Oui,Да,da
Russe,"Kazakhstan, Kirghizistan",Non,Нет,niet
Russe,"Kazakhstan, Kirghizistan",Merci,Спасибо,spassiba
Russe,"Kazakhstan, Kirghizistan",S'il vous plaît,Пожалуйста,pajalousta
Russe,"Kazakhstan, Kirghizistan",Pardon,Извините,izvi-nitié
Russe,"Kazakhstan, Kirghizistan",Je m'appelle…,Меня зовут…,minia zavout
Russe,"Kazakhstan, Kirghizistan",Comment ça va ?,Как дела?,kak diéla
Russe,"Kazakhstan, Kirghizistan",Combien ça coûte ?,Сколько стоит?,skolka stoït
Russe,"Kazakhstan, Kirghizistan",Où sont les toilettes ?,Где туалет?,gdié toua-liet
Russe,"Kazakhstan, Kirghizistan",Je voudrais…,Я хочу…,ya khatchou
Russe,"Kazakhstan, Kirghizistan","L'addition, s'il vous plaît",Счёт пожалуйста,chiot pajalousta
Russe,"Kazakhstan, Kirghizistan",C'est délicieux,Очень вкусно,otchen vkousna
Russe,"Kazakhstan, Kirghizistan",De l'eau,Вода,vada
Russe,"Kazakhstan, Kirghizistan",Je ne comprends pas,Я не понимаю,ya nié pani-maïou
Russe,"Kazakhstan, Kirghizistan",Parlez-vous anglais ?,Вы говорите по-английски?,vy gava-ritié pa-anglïiski
Russe,"Kazakhstan, Kirghizistan",Au secours !,Помогите!,pama-guitié
Russe,"Kazakhstan, Kirghizistan","Un, deux, trois",Один два три,adin dva tri
Mongol,Mongolie,Bonjour,Сайн байна уу?,saïn baïna ou
Mongol,Mongolie,Bonsoir,Оройн мэнд,oroïn mend
Mongol,Mongolie,Au revoir,Баяртай,bayar-taï
Mongol,Mongolie,Oui,Тийм,tiïm
Mongol,Mongolie,Non,Үгүй,ou-gouï
Mongol,Mongolie,Merci,Баярлалаа,bayar-lalaa
Mongol,Mongolie,S'il vous plaît,Гуйя,gouï-ya
Mongol,Mongolie,Pardon,Уучлаарай,outch-laaraï
Mongol,Mongolie,Je m'appelle…,Намайг … гэдэг,namaïg … guédeg
Mongol,Mongolie,Comment ça va ?,Сайн байна уу?,saïn baïna ou
Mongol,Mongolie,Combien ça coûte ?,Үнэ хэд вэ?,oune khed vé
Mongol,Mongolie,Où sont les toilettes ?,Жорлон хаана байна?,jorlon khaana baïna
Mongol,Mongolie,Je voudrais…,Би … авмаар байна,bi … avmaar baïna
Mongol,Mongolie,"L'addition, s'il vous plaît",Тооцоо хийе,tootsoo khiyé
Mongol,Mongolie,C'est délicieux,Маш амттай,mash am-ttaï
Mongol,Mongolie,De l'eau,Ус,ous
Mongol,Mongolie,Je ne comprends pas,Би ойлгохгүй байна,bi oïlgokh-gouï baïna
Mongol,Mongolie,Parlez-vous anglais ?,Та англиар ярьдаг уу?,ta angliar yaridag ou
Mongol,Mongolie,Au secours !,Туслаарай!,touslaaraï
Mongol,Mongolie,"Un, deux, trois",Нэг хоёр гурав,neg khoyor gourav
Mandarin,Chine,Bonjour,你好,ni hao
Mandarin,Chine,Bonsoir,晚上好,wann-chang hao
Mandarin,Chine,Au revoir,再见,dzaï-tsienn
Mandarin,Chine,Oui,是,che
Mandarin,Chine,Non,不是,bou che
Mandarin,Chine,Merci,谢谢,sié-sié
Mandarin,Chine,S'il vous plaît,请,tsing
Mandarin,Chine,Pardon,对不起,doueï-bou-tsi
Mandarin,Chine,Je m'appelle…,我叫…,wo tsiao
Mandarin,Chine,Comment ça va ?,你好吗？,ni hao ma
Mandarin,Chine,Combien ça coûte ?,多少钱？,douo-chao tsienn
Mandarin,Chine,Où sont les toilettes ?,洗手间在哪里？,si-cho-tsienn dzaï na-li
Mandarin,Chine,Je voudrais…,我想要…,wo siang yao
Mandarin,Chine,"L'addition, s'il vous plaît",买单,maï-dann
Mandarin,Chine,C'est délicieux,很好吃,heun hao-tch
Mandarin,Chine,De l'eau,水,chouèï
Mandarin,Chine,Je ne comprends pas,我不懂,wo bou dong
Mandarin,Chine,Parlez-vous anglais ?,你会说英语吗？,ni houeï chouo ing-yu ma
Mandarin,Chine,Au secours !,救命！,tsiou-ming
Mandarin,Chine,"Un, deux, trois",一二三,yi èr san
Cantonais,Hong-Kong,Bonjour,你好,néï hóou
Cantonais,Hong-Kong,Bonsoir,晚安,máann onn
Cantonais,Hong-Kong,Au revoir,拜拜,baï baï
Cantonais,Hong-Kong,Oui,係,haï
Cantonais,Hong-Kong,Non,唔係,mm haï
Cantonais,Hong-Kong,Merci (service),唔該,mm gôï
Cantonais,Hong-Kong,Merci (cadeau),多謝,dô tsé
Cantonais,Hong-Kong,Pardon,對唔住,deuï mm tsyu
Cantonais,Hong-Kong,Je m'appelle…,我叫…,ngo guiou
Cantonais,Hong-Kong,Comment ça va ?,你好嗎？,néï hóou ma
Cantonais,Hong-Kong,Combien ça coûte ?,幾多錢？,guéï dô tsínn
Cantonais,Hong-Kong,Où sont les toilettes ?,洗手間喺邊度？,sáï sáou gaan haï bin dou
Cantonais,Hong-Kong,Je voudrais…,我想要…,ngo séong yiou
Cantonais,Hong-Kong,"L'addition, s'il vous plaît",埋單,maaï daann
Cantonais,Hong-Kong,C'est délicieux,好好食,hóou hóou sik
Cantonais,Hong-Kong,De l'eau,水,seuï
Cantonais,Hong-Kong,Je ne comprends pas,我唔明,ngo mm mìng
Cantonais,Hong-Kong,Parlez-vous anglais ?,你識唔識講英文？,néï sik mm sik góng ying mànn
Cantonais,Hong-Kong,Au secours !,救命！,gau méng
Cantonais,Hong-Kong,"Un, deux, trois",一二三,yat yi saam
Malais,Malaisie,Bonjour,Selamat pagi,se-lamat pagui
Malais,Malaisie,Bonsoir,Selamat petang,se-lamat petang
Malais,Malaisie,Au revoir,Selamat tinggal,se-lamat tinng-gal
Malais,Malaisie,Oui,Ya,ya
Malais,Malaisie,Non,Tidak,ti-dak
Malais,Malaisie,Merci,Terima kasih,te-rima kassih
Malais,Malaisie,S'il vous plaît,Tolong,to-long
Malais,Malaisie,Pardon,Maaf,maaf
Malais,Malaisie,Je m'appelle…,Nama saya…,nama saya
Malais,Malaisie,Comment ça va ?,Apa khabar?,apa khabar
Malais,Malaisie,Combien ça coûte ?,Berapa harga?,berapa harga
Malais,Malaisie,Où sont les toilettes ?,Di mana tandas?,di mana tandass
Malais,Malaisie,Je voudrais…,Saya mahu…,saya mahou
Malais,Malaisie,"L'addition, s'il vous plaît",Boleh kira?,boleh kira
Malais,Malaisie,C'est délicieux,Sedap,se-dap
Malais,Malaisie,De l'eau,Air,aïr
Malais,Malaisie,Je ne comprends pas,Saya tidak faham,saya tidak faham
Malais,Malaisie,Parlez-vous anglais ?,Boleh cakap Inggeris?,boleh tchakap inng-gris
Malais,Malaisie,Au secours !,Tolong!,to-long
Malais,Malaisie,"Un, deux, trois",Satu dua tiga,satou doua tiga
Indonésien,Indonésie,Bonjour,Selamat pagi,se-lamat pagui
Indonésien,Indonésie,Bonsoir,Selamat malam,se-lamat malam
Indonésien,Indonésie,Au revoir,Sampai jumpa,sampaï joumpa
Indonésien,Indonésie,Oui,Ya,ya
Indonésien,Indonésie,Non,Tidak,ti-dak
Indonésien,Indonésie,Merci,Terima kasih,te-rima kassih
Indonésien,Indonésie,S'il vous plaît,Tolong,to-long
Indonésien,Indonésie,Pardon,Permisi,per-missi
Indonésien,Indonésie,Je m'appelle…,Nama saya…,nama saya
Indonésien,Indonésie,Comment ça va ?,Apa kabar?,apa kabar
Indonésien,Indonésie,Combien ça coûte ?,Berapa harganya?,berapa harganya
Indonésien,Indonésie,Où sont les toilettes ?,Di mana toilet?,di mana toïlet
Indonésien,Indonésie,Je voudrais…,Saya mau…,saya maou
Indonésien,Indonésie,"L'addition, s'il vous plaît",Minta bon,minta bonn
Indonésien,Indonésie,C'est délicieux,Enak,e-nak
Indonésien,Indonésie,De l'eau,Air,aïr
Indonésien,Indonésie,Je ne comprends pas,Saya tidak mengerti,saya tidak menng-erti
Indonésien,Indonésie,Parlez-vous anglais ?,Bisa bahasa Inggris?,bisa bahassa inng-gris
Indonésien,Indonésie,Au secours !,Tolong!,to-long
Indonésien,Indonésie,"Un, deux, trois",Satu dua tiga,satou doua tiga
